,Indicator,Group,Subgroup,Time_Period,Value,Risk,year
6647,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-05-26,41.0,Extreme,2021
6715,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-09,26.5,Moderate,2021
6716,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-06-09,19.5,Mild,2021
6717,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-06-09,26.6,Moderate,2021
6718,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-06-09,15.1,Mild,2021
6719,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-09,32.2,High,2021
6787,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-09,31.0,High,2021
6788,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-06-09,24.6,Mild,2021
6789,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-06-09,27.1,Moderate,2021
6790,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-06-09,19.2,Mild,2021
6791,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-09,39.7,Extreme,2021
6859,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-09,35.8,Extreme,2021
6860,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-06-09,28.3,Moderate,2021
6861,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-06-09,34.3,High,2021
6862,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-06-09,22.8,Mild,2021
6863,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-09,45.4,Extreme,2021
6931,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-23,26.4,Moderate,2021
6932,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-06-23,18.6,Mild,2021
6933,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-06-23,24.2,Mild,2021
6934,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-06-23,16.8,Mild,2021
6935,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-23,32.9,High,2021
7003,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-23,28.6,Moderate,2021
7004,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-06-23,22.7,Mild,2021
7005,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-06-23,28.3,Moderate,2021
7006,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-06-23,18.9,Mild,2021
7007,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-23,37.2,Extreme,2021
7075,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-06-23,35.4,Extreme,2021
7076,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-06-23,26.4,Moderate,2021
7077,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-06-23,33.5,High,2021
7078,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-06-23,23.2,Mild,2021
7079,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-06-23,42.3,Extreme,2021
7174,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-07-21,26.8,Moderate,2021
7175,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-07-21,20.5,Mild,2021
7176,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-07-21,24.6,Mild,2021
7177,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-07-21,18.0,Mild,2021
7178,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-07-21,30.7,High,2021
7273,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-07-21,32.0,High,2021
7274,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-07-21,25.2,Moderate,2021
7275,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-07-21,30.1,High,2021
7276,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-07-21,20.0,Mild,2021
7277,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-07-21,38.2,Extreme,2021
7372,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-07-21,37.4,Extreme,2021
7373,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-07-21,29.2,Moderate,2021
7374,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-07-21,34.6,High,2021
7375,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-07-21,24.2,Mild,2021
7376,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-07-21,41.3,Extreme,2021
7450,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-04,25.3,Moderate,2021
7451,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-08-04,20.0,Mild,2021
7452,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-08-04,23.0,Mild,2021
7453,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-08-04,15.7,Mild,2021
7454,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-04,32.1,High,2021
7528,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-04,31.7,High,2021
7529,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-08-04,25.4,Moderate,2021
7530,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-08-04,27.7,Moderate,2021
7531,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-08-04,16.9,Mild,2021
7532,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-04,35.8,Extreme,2021
7606,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-04,36.7,Extreme,2021
7607,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-08-04,29.3,Moderate,2021
7608,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-08-04,32.8,High,2021
7609,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-08-04,21.7,Mild,2021
7610,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-04,41.3,Extreme,2021
7684,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-18,25.4,Moderate,2021
7685,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-08-18,21.6,Mild,2021
7686,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-08-18,24.8,Moderate,2021
7687,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-08-18,16.2,Mild,2021
7688,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-18,29.5,Moderate,2021
7762,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-18,29.8,High,2021
7763,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-08-18,27.5,Moderate,2021
7764,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-08-18,28.5,Moderate,2021
7765,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-08-18,18.5,Mild,2021
7766,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-18,35.1,High,2021
7840,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-08-18,35.2,Extreme,2021
7841,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-08-18,31.3,High,2021
7842,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-08-18,33.4,High,2021
7843,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-08-18,24.2,Mild,2021
7844,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-08-18,39.9,Extreme,2021
7918,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-01,27.9,Moderate,2021
7919,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-01,21.2,Mild,2021
7920,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-01,21.9,Mild,2021
7921,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-01,17.1,Mild,2021
7922,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-01,29.6,Moderate,2021
7996,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-01,30.5,High,2021
7997,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-09-01,28.1,Moderate,2021
7998,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-09-01,25.6,Moderate,2021
7999,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-09-01,20.5,Mild,2021
8000,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-01,35.4,Extreme,2021
8074,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-01,35.7,Extreme,2021
8075,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-01,31.6,High,2021
8076,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-01,31.1,High,2021
8077,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-01,25.0,Moderate,2021
8078,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-01,39.5,Extreme,2021
8152,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-15,26.8,Moderate,2021
8153,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-15,20.6,Mild,2021
8154,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-15,26.4,Moderate,2021
8155,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-15,15.8,Mild,2021
8156,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-15,32.5,High,2021
8230,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-15,32.1,High,2021
8231,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-09-15,26.6,Moderate,2021
8232,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-09-15,29.1,Moderate,2021
8233,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-09-15,20.2,Mild,2021
8234,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-15,39.2,Extreme,2021
8308,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-15,36.5,Extreme,2021
8309,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-15,30.6,High,2021
8310,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-15,34.8,High,2021
8311,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-15,23.5,Mild,2021
8312,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-15,47.4,Extreme,2021
8386,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-29,24.5,Mild,2021
8387,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-29,20.8,Mild,2021
8388,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-29,22.7,Mild,2021
8389,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-29,16.1,Mild,2021
8390,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-29,33.8,High,2021
8464,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-29,30.4,High,2021
8465,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-09-29,26.8,Moderate,2021
8466,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-09-29,26.2,Moderate,2021
8467,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-09-29,19.2,Mild,2021
8468,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-29,35.5,Extreme,2021
8542,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-09-29,35.1,High,2021
8543,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-09-29,30.4,High,2021
8544,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-09-29,32.4,High,2021
8545,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-09-29,24.2,Mild,2021
8546,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-09-29,44.0,Extreme,2021
8641,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-12-01,22.7,Mild,2021
8642,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-12-01,20.8,Mild,2021
8643,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-12-01,22.0,Mild,2021
8644,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-12-01,18.5,Mild,2021
8645,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-12-01,30.4,High,2021
8740,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-12-01,27.6,Moderate,2021
8741,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-12-01,26.1,Moderate,2021
8742,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-12-01,26.7,Moderate,2021
8743,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-12-01,20.3,Mild,2021
8744,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-12-01,37.3,Extreme,2021
8839,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-12-01,32.6,High,2021
8840,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-12-01,30.0,High,2021
8841,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-12-01,30.7,High,2021
8842,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-12-01,26.1,Moderate,2021
8843,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-12-01,41.7,Extreme,2021
