,Indicator,Group,Subgroup,Time_Period,Value,Risk
2460,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-07-16,46.3,Extreme
2461,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-07-16,38.8,High
2462,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-07-16,42.6,Extreme
2463,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-07-16,40.3,Extreme
2464,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-07-16,48.8,Extreme
2465,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2020-07-16,47.3,Extreme
2466,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2020-07-16,42.2,Extreme
2467,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2020-07-16,43.3,Extreme
2468,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2020-07-16,35.7,High
2469,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2020-07-16,43.3,Extreme
2470,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2020-07-16,38.8,High
2471,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2020-07-16,44.9,Extreme
2472,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2020-07-16,43.5,Extreme
2473,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2020-07-16,44.1,Extreme
2474,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2020-07-16,41.5,Extreme
2475,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2020-07-16,35.1,High
2476,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2020-07-16,36.6,High
2477,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2020-07-16,36.1,High
2478,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2020-07-16,40.5,Extreme
2479,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2020-07-16,40.0,High
2480,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2020-07-16,41.3,Extreme
2481,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2020-07-16,45.5,Extreme
2482,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2020-07-16,43.2,Extreme
2483,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2020-07-16,42.0,Extreme
2484,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2020-07-16,37.8,High
2485,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2020-07-16,39.9,High
2486,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2020-07-16,41.7,Extreme
2487,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2020-07-16,43.1,Extreme
2488,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2020-07-16,37.8,High
2489,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2020-07-16,39.3,High
2490,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2020-07-16,35.2,High
2491,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2020-07-16,40.7,Extreme
2492,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2020-07-16,35.7,High
2493,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2020-07-16,48.0,Extreme
2494,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2020-07-16,37.9,High
2495,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2020-07-16,36.0,High
2496,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2020-07-16,37.3,High
2497,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2020-07-16,46.8,Extreme
2498,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2020-07-16,40.7,Extreme
2499,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2020-07-16,37.6,High
2500,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2020-07-16,47.5,Extreme
2501,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2020-07-16,41.1,Extreme
2502,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2020-07-16,39.5,High
2503,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2020-07-16,33.8,Moderate
2504,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2020-07-16,37.1,High
2505,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2020-07-16,44.1,Extreme
2506,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2020-07-16,50.2,Extreme
2507,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2020-07-16,31.8,Moderate
2508,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2020-07-16,44.5,Extreme
2509,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2020-07-16,42.3,Extreme
2510,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2020-07-16,35.4,High
2511,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2020-07-16,43.6,Extreme
2512,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2020-07-16,44.3,Extreme
2513,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2020-07-16,37.8,High
2514,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2020-07-16,33.2,Moderate
2515,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2020-07-16,38.3,High
2516,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2020-07-16,43.8,Extreme
2517,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2020-07-16,37.0,High
2518,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2020-07-16,33.3,Moderate
2519,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2020-07-16,41.3,Extreme
2540,Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-08-19,35.4,High
2541,Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-08-19,27.9,Mild
2542,Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-08-19,23.8,Mild
2543,Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-08-19,23.8,Mild
2544,Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-08-19,19.7,Mild
2545,Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-08-19,14.8,Mild
2546,Symptoms of Depressive Disorder,By Age,80 years and above,2020-08-19,13.8,Mild
2547,Symptoms of Depressive Disorder,By Sex,Male,2020-08-19,22.5,Mild
2548,Symptoms of Depressive Disorder,By Sex,Female,2020-08-19,26.4,Mild
2549,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-08-19,28.5,Mild
2550,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-08-19,23.2,Mild
2551,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-08-19,26.2,Mild
2552,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-08-19,20.8,Mild
2553,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-08-19,30.3,Moderate
2554,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-08-19,29.1,Mild
2555,Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-08-19,27.0,Mild
2556,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-08-19,27.2,Mild
2557,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-08-19,18.6,Mild
2558,Symptoms of Depressive Disorder,By State,Alabama,2020-08-19,27.7,Mild
2559,Symptoms of Depressive Disorder,By State,Alaska,2020-08-19,22.2,Mild
2560,Symptoms of Depressive Disorder,By State,Arizona,2020-08-19,26.4,Mild
2561,Symptoms of Depressive Disorder,By State,Arkansas,2020-08-19,23.9,Mild
2562,Symptoms of Depressive Disorder,By State,California,2020-08-19,25.9,Mild
2563,Symptoms of Depressive Disorder,By State,Colorado,2020-08-19,24.5,Mild
2564,Symptoms of Depressive Disorder,By State,Connecticut,2020-08-19,23.8,Mild
2565,Symptoms of Depressive Disorder,By State,Delaware,2020-08-19,20.1,Mild
2566,Symptoms of Depressive Disorder,By State,District of Columbia,2020-08-19,23.8,Mild
2567,Symptoms of Depressive Disorder,By State,Florida,2020-08-19,27.8,Mild
2568,Symptoms of Depressive Disorder,By State,Georgia,2020-08-19,26.8,Mild
2569,Symptoms of Depressive Disorder,By State,Hawaii,2020-08-19,22.8,Mild
2570,Symptoms of Depressive Disorder,By State,Idaho,2020-08-19,22.8,Mild
2571,Symptoms of Depressive Disorder,By State,Illinois,2020-08-19,23.5,Mild
2572,Symptoms of Depressive Disorder,By State,Indiana,2020-08-19,25.4,Mild
2573,Symptoms of Depressive Disorder,By State,Iowa,2020-08-19,20.0,Mild
2574,Symptoms of Depressive Disorder,By State,Kansas,2020-08-19,24.3,Mild
2575,Symptoms of Depressive Disorder,By State,Kentucky,2020-08-19,27.9,Mild
2576,Symptoms of Depressive Disorder,By State,Louisiana,2020-08-19,26.9,Mild
2577,Symptoms of Depressive Disorder,By State,Maine,2020-08-19,23.8,Mild
2578,Symptoms of Depressive Disorder,By State,Maryland,2020-08-19,21.3,Mild
2579,Symptoms of Depressive Disorder,By State,Massachusetts,2020-08-19,22.3,Mild
2580,Symptoms of Depressive Disorder,By State,Michigan,2020-08-19,24.1,Mild
2581,Symptoms of Depressive Disorder,By State,Minnesota,2020-08-19,18.3,Mild
2582,Symptoms of Depressive Disorder,By State,Mississippi,2020-08-19,23.6,Mild
2583,Symptoms of Depressive Disorder,By State,Missouri,2020-08-19,23.7,Mild
2584,Symptoms of Depressive Disorder,By State,Montana,2020-08-19,18.6,Mild
2585,Symptoms of Depressive Disorder,By State,Nebraska,2020-08-19,20.9,Mild
2586,Symptoms of Depressive Disorder,By State,Nevada,2020-08-19,26.9,Mild
2587,Symptoms of Depressive Disorder,By State,New Hampshire,2020-08-19,19.8,Mild
2588,Symptoms of Depressive Disorder,By State,New Jersey,2020-08-19,24.7,Mild
2589,Symptoms of Depressive Disorder,By State,New Mexico,2020-08-19,27.8,Mild
2590,Symptoms of Depressive Disorder,By State,New York,2020-08-19,22.5,Mild
2591,Symptoms of Depressive Disorder,By State,North Carolina,2020-08-19,20.5,Mild
2592,Symptoms of Depressive Disorder,By State,North Dakota,2020-08-19,17.8,Mild
2593,Symptoms of Depressive Disorder,By State,Ohio,2020-08-19,24.9,Mild
2594,Symptoms of Depressive Disorder,By State,Oklahoma,2020-08-19,25.9,Mild
2595,Symptoms of Depressive Disorder,By State,Oregon,2020-08-19,26.1,Mild
2596,Symptoms of Depressive Disorder,By State,Pennsylvania,2020-08-19,23.8,Mild
2597,Symptoms of Depressive Disorder,By State,Rhode Island,2020-08-19,19.2,Mild
2598,Symptoms of Depressive Disorder,By State,South Carolina,2020-08-19,20.4,Mild
2599,Symptoms of Depressive Disorder,By State,South Dakota,2020-08-19,15.2,Mild
2600,Symptoms of Depressive Disorder,By State,Tennessee,2020-08-19,28.3,Mild
2601,Symptoms of Depressive Disorder,By State,Texas,2020-08-19,25.7,Mild
2602,Symptoms of Depressive Disorder,By State,Utah,2020-08-19,22.7,Mild
2603,Symptoms of Depressive Disorder,By State,Vermont,2020-08-19,19.5,Mild
2604,Symptoms of Depressive Disorder,By State,Virginia,2020-08-19,25.1,Mild
2605,Symptoms of Depressive Disorder,By State,Washington,2020-08-19,23.6,Mild
2606,Symptoms of Depressive Disorder,By State,West Virginia,2020-08-19,25.2,Mild
2607,Symptoms of Depressive Disorder,By State,Wisconsin,2020-08-19,20.2,Mild
2608,Symptoms of Depressive Disorder,By State,Wyoming,2020-08-19,21.9,Mild
2629,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-08-19,41.0,Extreme
2630,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-08-19,37.7,High
2631,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-08-19,33.1,Moderate
2632,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-08-19,31.1,Moderate
2633,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-08-19,25.2,Mild
2634,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-08-19,18.2,Mild
2635,Symptoms of Anxiety Disorder,By Age,80 years and above,2020-08-19,14.6,Mild
2636,Symptoms of Anxiety Disorder,By Sex,Male,2020-08-19,26.4,Mild
2637,Symptoms of Anxiety Disorder,By Sex,Female,2020-08-19,36.1,High
2638,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-08-19,33.3,Moderate
2639,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-08-19,31.2,Moderate
2640,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-08-19,30.8,Moderate
2641,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-08-19,25.1,Mild
2642,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-08-19,37.1,High
2643,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-08-19,35.4,High
2644,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-08-19,30.1,Moderate
2645,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-08-19,34.2,Moderate
2646,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2020-08-19,29.1,Mild
2647,Symptoms of Anxiety Disorder,By State,Alabama,2020-08-19,30.6,Moderate
2648,Symptoms of Anxiety Disorder,By State,Alaska,2020-08-19,30.5,Moderate
2649,Symptoms of Anxiety Disorder,By State,Arizona,2020-08-19,30.4,Moderate
2650,Symptoms of Anxiety Disorder,By State,Arkansas,2020-08-19,30.5,Moderate
2651,Symptoms of Anxiety Disorder,By State,California,2020-08-19,32.4,Moderate
2652,Symptoms of Anxiety Disorder,By State,Colorado,2020-08-19,32.6,Moderate
2653,Symptoms of Anxiety Disorder,By State,Connecticut,2020-08-19,33.9,Moderate
2654,Symptoms of Anxiety Disorder,By State,Delaware,2020-08-19,24.6,Mild
2655,Symptoms of Anxiety Disorder,By State,District of Columbia,2020-08-19,30.6,Moderate
2656,Symptoms of Anxiety Disorder,By State,Florida,2020-08-19,33.7,Moderate
2657,Symptoms of Anxiety Disorder,By State,Georgia,2020-08-19,31.3,Moderate
2658,Symptoms of Anxiety Disorder,By State,Hawaii,2020-08-19,35.4,High
2659,Symptoms of Anxiety Disorder,By State,Idaho,2020-08-19,28.7,Mild
2660,Symptoms of Anxiety Disorder,By State,Illinois,2020-08-19,33.7,Moderate
2661,Symptoms of Anxiety Disorder,By State,Indiana,2020-08-19,32.0,Moderate
2662,Symptoms of Anxiety Disorder,By State,Iowa,2020-08-19,28.0,Mild
2663,Symptoms of Anxiety Disorder,By State,Kansas,2020-08-19,32.0,Moderate
2664,Symptoms of Anxiety Disorder,By State,Kentucky,2020-08-19,34.6,Moderate
2665,Symptoms of Anxiety Disorder,By State,Louisiana,2020-08-19,37.1,High
2666,Symptoms of Anxiety Disorder,By State,Maine,2020-08-19,34.9,Moderate
2667,Symptoms of Anxiety Disorder,By State,Maryland,2020-08-19,30.9,Moderate
2668,Symptoms of Anxiety Disorder,By State,Massachusetts,2020-08-19,31.5,Moderate
2669,Symptoms of Anxiety Disorder,By State,Michigan,2020-08-19,30.6,Moderate
2670,Symptoms of Anxiety Disorder,By State,Minnesota,2020-08-19,28.6,Mild
2671,Symptoms of Anxiety Disorder,By State,Mississippi,2020-08-19,27.7,Mild
2672,Symptoms of Anxiety Disorder,By State,Missouri,2020-08-19,27.8,Mild
2673,Symptoms of Anxiety Disorder,By State,Montana,2020-08-19,27.9,Mild
2674,Symptoms of Anxiety Disorder,By State,Nebraska,2020-08-19,28.0,Mild
2675,Symptoms of Anxiety Disorder,By State,Nevada,2020-08-19,35.2,High
2676,Symptoms of Anxiety Disorder,By State,New Hampshire,2020-08-19,28.4,Mild
2677,Symptoms of Anxiety Disorder,By State,New Jersey,2020-08-19,33.3,Moderate
2678,Symptoms of Anxiety Disorder,By State,New Mexico,2020-08-19,35.2,High
2679,Symptoms of Anxiety Disorder,By State,New York,2020-08-19,29.9,Mild
2680,Symptoms of Anxiety Disorder,By State,North Carolina,2020-08-19,28.4,Mild
2681,Symptoms of Anxiety Disorder,By State,North Dakota,2020-08-19,26.4,Mild
2682,Symptoms of Anxiety Disorder,By State,Ohio,2020-08-19,31.7,Moderate
2683,Symptoms of Anxiety Disorder,By State,Oklahoma,2020-08-19,34.0,Moderate
2684,Symptoms of Anxiety Disorder,By State,Oregon,2020-08-19,34.8,Moderate
2685,Symptoms of Anxiety Disorder,By State,Pennsylvania,2020-08-19,31.0,Moderate
2686,Symptoms of Anxiety Disorder,By State,Rhode Island,2020-08-19,29.9,Mild
2687,Symptoms of Anxiety Disorder,By State,South Carolina,2020-08-19,24.5,Mild
2688,Symptoms of Anxiety Disorder,By State,South Dakota,2020-08-19,20.9,Mild
2689,Symptoms of Anxiety Disorder,By State,Tennessee,2020-08-19,34.8,Moderate
2690,Symptoms of Anxiety Disorder,By State,Texas,2020-08-19,31.1,Moderate
2691,Symptoms of Anxiety Disorder,By State,Utah,2020-08-19,30.4,Moderate
2692,Symptoms of Anxiety Disorder,By State,Vermont,2020-08-19,28.0,Mild
2693,Symptoms of Anxiety Disorder,By State,Virginia,2020-08-19,30.5,Moderate
2694,Symptoms of Anxiety Disorder,By State,Washington,2020-08-19,32.7,Moderate
2695,Symptoms of Anxiety Disorder,By State,West Virginia,2020-08-19,29.0,Mild
2696,Symptoms of Anxiety Disorder,By State,Wisconsin,2020-08-19,25.2,Mild
2697,Symptoms of Anxiety Disorder,By State,Wyoming,2020-08-19,32.8,Moderate
2718,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-08-19,49.0,Extreme
2719,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-08-19,42.5,Extreme
2720,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-08-19,37.6,High
2721,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-08-19,34.9,Moderate
2722,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-08-19,29.3,Mild
2723,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-08-19,23.2,Mild
2724,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-08-19,19.4,Mild
2725,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,2020-08-19,31.8,Moderate
2726,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,2020-08-19,40.7,Extreme
2727,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-08-19,40.2,Extreme
2728,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-08-19,35.4,High
2729,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-08-19,37.7,High
2730,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-08-19,30.5,Moderate
2731,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-08-19,43.1,Extreme
2732,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2020-08-19,41.8,Extreme
2733,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2020-08-19,36.3,High
2734,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2020-08-19,39.4,High
2735,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2020-08-19,32.4,Moderate
2736,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2020-08-19,37.2,High
2737,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2020-08-19,34.8,Moderate
2738,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2020-08-19,35.1,High
2739,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2020-08-19,35.3,High
2740,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2020-08-19,38.0,High
2741,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2020-08-19,37.6,High
2742,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2020-08-19,38.8,High
2743,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2020-08-19,30.5,Moderate
2744,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2020-08-19,35.3,High
2745,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2020-08-19,39.4,High
2746,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2020-08-19,38.7,High
2747,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2020-08-19,40.0,High
2748,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2020-08-19,32.6,Moderate
2749,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2020-08-19,38.2,High
2750,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2020-08-19,38.2,High
2751,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2020-08-19,33.2,Moderate
2752,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2020-08-19,35.9,High
2753,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2020-08-19,38.7,High
2754,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2020-08-19,39.7,High
2755,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2020-08-19,39.3,High
2756,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2020-08-19,34.1,Moderate
2757,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2020-08-19,35.8,High
2758,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2020-08-19,36.7,High
2759,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2020-08-19,31.8,Moderate
2760,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2020-08-19,33.2,Moderate
2761,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2020-08-19,33.5,Moderate
2762,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2020-08-19,30.7,Moderate
2763,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2020-08-19,32.0,Moderate
2764,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2020-08-19,40.4,Extreme
2765,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2020-08-19,31.5,Moderate
2766,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,2020-08-19,37.8,High
2767,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,2020-08-19,38.9,High
2768,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,2020-08-19,34.4,Moderate
2769,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,2020-08-19,32.3,Moderate
2770,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,2020-08-19,29.6,Mild
2771,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,2020-08-19,37.3,High
2772,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,2020-08-19,38.6,High
2773,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,2020-08-19,38.4,High
2774,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,2020-08-19,35.7,High
2775,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,2020-08-19,34.2,Moderate
2776,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,2020-08-19,30.4,Moderate
2777,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,2020-08-19,24.2,Mild
2778,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,2020-08-19,38.4,High
2779,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,2020-08-19,37.1,High
2780,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,2020-08-19,34.4,Moderate
2781,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,2020-08-19,32.0,Moderate
2782,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,2020-08-19,35.2,High
2783,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,2020-08-19,37.2,High
2784,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,2020-08-19,34.5,Moderate
2785,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,2020-08-19,29.1,Mild
2786,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,2020-08-19,35.6,High
2788,Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-09-02,34.9,Moderate
2789,Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-09-02,27.2,Mild
2790,Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-09-02,25.8,Mild
2791,Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-09-02,23.1,Mild
2792,Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-09-02,19.4,Mild
2793,Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-09-02,14.9,Mild
2794,Symptoms of Depressive Disorder,By Age,80 years and above,2020-09-02,13.3,Mild
2795,Symptoms of Depressive Disorder,By Sex,Male,2020-09-02,22.8,Mild
2796,Symptoms of Depressive Disorder,By Sex,Female,2020-09-02,26.0,Mild
2797,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-02,28.9,Mild
2798,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-02,22.7,Mild
2799,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-02,28.5,Mild
2800,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-02,19.1,Mild
2801,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-02,31.4,Moderate
2802,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-09-02,33.0,Moderate
2803,Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-09-02,25.7,Mild
2804,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-09-02,27.5,Mild
2805,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-09-02,18.4,Mild
2806,Symptoms of Depressive Disorder,By State,Alabama,2020-09-02,25.2,Mild
2807,Symptoms of Depressive Disorder,By State,Alaska,2020-09-02,23.6,Mild
