,Indicator,Group,Subgroup,Time Period Start Date,Value,Risk
4891,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,01/20/2021,46.4,Extreme
4892,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,01/20/2021,35.5,Extreme
4893,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,01/20/2021,43.4,Extreme
4894,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,01/20/2021,43.1,Extreme
4895,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,01/20/2021,40.8,Extreme
4896,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,01/20/2021,40.0,Extreme
4897,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,01/20/2021,46.1,Extreme
4898,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,01/20/2021,41.4,Extreme
4899,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,01/20/2021,40.6,Extreme
4900,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,01/20/2021,32.8,High
4901,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,01/20/2021,43.7,Extreme
4902,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,01/20/2021,40.8,Extreme
4903,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,01/20/2021,44.3,Extreme
4904,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,01/20/2021,37.6,Extreme
4905,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,01/20/2021,40.0,Extreme
4906,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,01/20/2021,38.5,Extreme
4907,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,01/20/2021,42.2,Extreme
4908,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,01/20/2021,38.5,Extreme
4909,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,01/20/2021,36.5,Extreme
4910,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,01/20/2021,43.6,Extreme
4911,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,01/20/2021,47.5,Extreme
4912,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,01/20/2021,37.5,Extreme
4913,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,01/20/2021,39.1,Extreme
4914,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,01/20/2021,42.2,Extreme
4915,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,01/20/2021,39.9,Extreme
4916,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,01/20/2021,37.2,Extreme
4917,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,01/20/2021,42.7,Extreme
4918,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,01/20/2021,39.0,Extreme
4919,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,01/20/2021,35.1,High
4920,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,01/20/2021,33.8,High
4921,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,01/20/2021,41.4,Extreme
4922,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,01/20/2021,37.7,Extreme
4923,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,01/20/2021,42.2,Extreme
4924,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,01/20/2021,43.3,Extreme
4925,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,01/20/2021,35.8,Extreme
4926,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,01/20/2021,44.7,Extreme
4927,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,01/20/2021,28.8,Moderate
4928,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,01/20/2021,43.2,Extreme
4929,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,01/20/2021,47.5,Extreme
4930,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,01/20/2021,42.0,Extreme
4931,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,01/20/2021,39.8,Extreme
4932,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,01/20/2021,41.5,Extreme
4933,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,01/20/2021,37.6,Extreme
4934,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,01/20/2021,29.1,Moderate
4935,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,01/20/2021,43.5,Extreme
4936,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,01/20/2021,43.4,Extreme
4937,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,01/20/2021,40.9,Extreme
4938,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,01/20/2021,36.2,Extreme
4939,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,01/20/2021,36.9,Extreme
4940,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,01/20/2021,46.3,Extreme
4941,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,01/20/2021,41.8,Extreme
4942,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,01/20/2021,36.4,Extreme
4943,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,01/20/2021,40.2,Extreme
4944,Symptoms of Depressive Disorder,National Estimate,United States,02/03/2021,28.1,Moderate
4945,Symptoms of Depressive Disorder,By Age,18 - 29 years,02/03/2021,43.9,Extreme
4946,Symptoms of Depressive Disorder,By Age,30 - 39 years,02/03/2021,31.2,High
4947,Symptoms of Depressive Disorder,By Age,40 - 49 years,02/03/2021,28.1,Moderate
4948,Symptoms of Depressive Disorder,By Age,50 - 59 years,02/03/2021,26.0,Moderate
4949,Symptoms of Depressive Disorder,By Age,60 - 69 years,02/03/2021,23.0,Mild
4950,Symptoms of Depressive Disorder,By Age,70 - 79 years,02/03/2021,16.2,Mild
4951,Symptoms of Depressive Disorder,By Age,80 years and above,02/03/2021,16.0,Mild
4952,Symptoms of Depressive Disorder,By Sex,Male,02/03/2021,26.1,Moderate
4953,Symptoms of Depressive Disorder,By Sex,Female,02/03/2021,29.9,High
4954,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,02/03/2021,32.7,High
4955,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",02/03/2021,26.2,Moderate
4956,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",02/03/2021,31.1,High
4957,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",02/03/2021,26.9,Moderate
4958,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",02/03/2021,33.2,High
4959,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,02/03/2021,37.0,Extreme
4960,Symptoms of Depressive Disorder,By Education,High school diploma or GED,02/03/2021,30.1,High
4961,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,02/03/2021,31.0,High
4962,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,02/03/2021,21.5,Mild
4963,Symptoms of Depressive Disorder,By State,Alabama,02/03/2021,29.8,High
4964,Symptoms of Depressive Disorder,By State,Alaska,02/03/2021,31.5,High
4965,Symptoms of Depressive Disorder,By State,Arizona,02/03/2021,30.4,High
4966,Symptoms of Depressive Disorder,By State,Arkansas,02/03/2021,33.4,High
4967,Symptoms of Depressive Disorder,By State,California,02/03/2021,30.3,High
4968,Symptoms of Depressive Disorder,By State,Colorado,02/03/2021,23.6,Mild
4969,Symptoms of Depressive Disorder,By State,Connecticut,02/03/2021,27.1,Moderate
4970,Symptoms of Depressive Disorder,By State,Delaware,02/03/2021,24.8,Moderate
4971,Symptoms of Depressive Disorder,By State,District of Columbia,02/03/2021,24.5,Mild
4972,Symptoms of Depressive Disorder,By State,Florida,02/03/2021,28.1,Moderate
4973,Symptoms of Depressive Disorder,By State,Georgia,02/03/2021,28.5,Moderate
4974,Symptoms of Depressive Disorder,By State,Hawaii,02/03/2021,23.4,Mild
4975,Symptoms of Depressive Disorder,By State,Idaho,02/03/2021,26.6,Moderate
4976,Symptoms of Depressive Disorder,By State,Illinois,02/03/2021,27.9,Moderate
4977,Symptoms of Depressive Disorder,By State,Indiana,02/03/2021,25.7,Moderate
4978,Symptoms of Depressive Disorder,By State,Iowa,02/03/2021,25.0,Moderate
4979,Symptoms of Depressive Disorder,By State,Kansas,02/03/2021,24.8,Moderate
4980,Symptoms of Depressive Disorder,By State,Kentucky,02/03/2021,28.7,Moderate
4981,Symptoms of Depressive Disorder,By State,Louisiana,02/03/2021,31.3,High
4982,Symptoms of Depressive Disorder,By State,Maine,02/03/2021,23.0,Mild
4983,Symptoms of Depressive Disorder,By State,Maryland,02/03/2021,26.6,Moderate
4984,Symptoms of Depressive Disorder,By State,Massachusetts,02/03/2021,26.5,Moderate
4985,Symptoms of Depressive Disorder,By State,Michigan,02/03/2021,27.3,Moderate
4986,Symptoms of Depressive Disorder,By State,Minnesota,02/03/2021,21.9,Mild
4987,Symptoms of Depressive Disorder,By State,Mississippi,02/03/2021,32.7,High
4988,Symptoms of Depressive Disorder,By State,Missouri,02/03/2021,29.3,Moderate
4989,Symptoms of Depressive Disorder,By State,Montana,02/03/2021,23.4,Mild
4990,Symptoms of Depressive Disorder,By State,Nebraska,02/03/2021,26.0,Moderate
4991,Symptoms of Depressive Disorder,By State,Nevada,02/03/2021,30.4,High
4992,Symptoms of Depressive Disorder,By State,New Hampshire,02/03/2021,19.6,Mild
4993,Symptoms of Depressive Disorder,By State,New Jersey,02/03/2021,24.3,Mild
4994,Symptoms of Depressive Disorder,By State,New Mexico,02/03/2021,32.4,High
4995,Symptoms of Depressive Disorder,By State,New York,02/03/2021,31.1,High
4996,Symptoms of Depressive Disorder,By State,North Carolina,02/03/2021,27.5,Moderate
4997,Symptoms of Depressive Disorder,By State,North Dakota,02/03/2021,20.2,Mild
4998,Symptoms of Depressive Disorder,By State,Ohio,02/03/2021,25.7,Moderate
4999,Symptoms of Depressive Disorder,By State,Oklahoma,02/03/2021,27.2,Moderate
5000,Symptoms of Depressive Disorder,By State,Oregon,02/03/2021,31.0,High
5001,Symptoms of Depressive Disorder,By State,Pennsylvania,02/03/2021,26.5,Moderate
5002,Symptoms of Depressive Disorder,By State,Rhode Island,02/03/2021,27.3,Moderate
5003,Symptoms of Depressive Disorder,By State,South Carolina,02/03/2021,29.7,Moderate
5004,Symptoms of Depressive Disorder,By State,South Dakota,02/03/2021,21.9,Mild
5005,Symptoms of Depressive Disorder,By State,Tennessee,02/03/2021,30.7,High
5006,Symptoms of Depressive Disorder,By State,Texas,02/03/2021,28.2,Moderate
5007,Symptoms of Depressive Disorder,By State,Utah,02/03/2021,28.7,Moderate
5008,Symptoms of Depressive Disorder,By State,Vermont,02/03/2021,27.2,Moderate
5009,Symptoms of Depressive Disorder,By State,Virginia,02/03/2021,27.5,Moderate
5010,Symptoms of Depressive Disorder,By State,Washington,02/03/2021,28.7,Moderate
5011,Symptoms of Depressive Disorder,By State,West Virginia,02/03/2021,30.7,High
5012,Symptoms of Depressive Disorder,By State,Wisconsin,02/03/2021,25.8,Moderate
5013,Symptoms of Depressive Disorder,By State,Wyoming,02/03/2021,20.0,Mild
5014,Symptoms of Anxiety Disorder,National Estimate,United States,02/03/2021,33.8,High
5015,Symptoms of Anxiety Disorder,By Age,18 - 29 years,02/03/2021,47.5,Extreme
5016,Symptoms of Anxiety Disorder,By Age,30 - 39 years,02/03/2021,39.6,Extreme
5017,Symptoms of Anxiety Disorder,By Age,40 - 49 years,02/03/2021,35.6,Extreme
5018,Symptoms of Anxiety Disorder,By Age,50 - 59 years,02/03/2021,31.6,High
5019,Symptoms of Anxiety Disorder,By Age,60 - 69 years,02/03/2021,27.7,Moderate
5020,Symptoms of Anxiety Disorder,By Age,70 - 79 years,02/03/2021,19.3,Mild
5021,Symptoms of Anxiety Disorder,By Age,80 years and above,02/03/2021,19.0,Mild
5022,Symptoms of Anxiety Disorder,By Sex,Male,02/03/2021,29.6,Moderate
5023,Symptoms of Anxiety Disorder,By Sex,Female,02/03/2021,37.6,Extreme
5024,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,02/03/2021,37.0,Extreme
5025,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",02/03/2021,32.7,High
5026,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",02/03/2021,35.2,Extreme
5027,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",02/03/2021,29.7,Moderate
5028,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",02/03/2021,39.2,Extreme
5029,Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,02/03/2021,39.3,Extreme
5030,Symptoms of Anxiety Disorder,By Education,High school diploma or GED,02/03/2021,32.7,High
5031,Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,02/03/2021,37.5,Extreme
5032,Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,02/03/2021,29.9,High
5033,Symptoms of Anxiety Disorder,By State,Alabama,02/03/2021,35.1,High
5034,Symptoms of Anxiety Disorder,By State,Alaska,02/03/2021,33.0,High
5035,Symptoms of Anxiety Disorder,By State,Arizona,02/03/2021,32.8,High
5036,Symptoms of Anxiety Disorder,By State,Arkansas,02/03/2021,38.1,Extreme
5037,Symptoms of Anxiety Disorder,By State,California,02/03/2021,35.7,Extreme
5038,Symptoms of Anxiety Disorder,By State,Colorado,02/03/2021,30.7,High
5039,Symptoms of Anxiety Disorder,By State,Connecticut,02/03/2021,34.3,High
5040,Symptoms of Anxiety Disorder,By State,Delaware,02/03/2021,33.0,High
5041,Symptoms of Anxiety Disorder,By State,District of Columbia,02/03/2021,34.7,High
5042,Symptoms of Anxiety Disorder,By State,Florida,02/03/2021,34.4,High
5043,Symptoms of Anxiety Disorder,By State,Georgia,02/03/2021,30.7,High
5044,Symptoms of Anxiety Disorder,By State,Hawaii,02/03/2021,26.9,Moderate
5045,Symptoms of Anxiety Disorder,By State,Idaho,02/03/2021,30.5,High
5046,Symptoms of Anxiety Disorder,By State,Illinois,02/03/2021,30.7,High
5047,Symptoms of Anxiety Disorder,By State,Indiana,02/03/2021,32.7,High
5048,Symptoms of Anxiety Disorder,By State,Iowa,02/03/2021,30.0,High
5049,Symptoms of Anxiety Disorder,By State,Kansas,02/03/2021,29.3,Moderate
5050,Symptoms of Anxiety Disorder,By State,Kentucky,02/03/2021,30.8,High
5051,Symptoms of Anxiety Disorder,By State,Louisiana,02/03/2021,36.9,Extreme
5052,Symptoms of Anxiety Disorder,By State,Maine,02/03/2021,32.5,High
5053,Symptoms of Anxiety Disorder,By State,Maryland,02/03/2021,33.8,High
5054,Symptoms of Anxiety Disorder,By State,Massachusetts,02/03/2021,34.4,High
5055,Symptoms of Anxiety Disorder,By State,Michigan,02/03/2021,34.4,High
5056,Symptoms of Anxiety Disorder,By State,Minnesota,02/03/2021,26.9,Moderate
5057,Symptoms of Anxiety Disorder,By State,Mississippi,02/03/2021,38.6,Extreme
5058,Symptoms of Anxiety Disorder,By State,Missouri,02/03/2021,33.0,High
5059,Symptoms of Anxiety Disorder,By State,Montana,02/03/2021,25.0,Moderate
5060,Symptoms of Anxiety Disorder,By State,Nebraska,02/03/2021,30.7,High
5061,Symptoms of Anxiety Disorder,By State,Nevada,02/03/2021,39.0,Extreme
5062,Symptoms of Anxiety Disorder,By State,New Hampshire,02/03/2021,29.3,Moderate
5063,Symptoms of Anxiety Disorder,By State,New Jersey,02/03/2021,34.3,High
5064,Symptoms of Anxiety Disorder,By State,New Mexico,02/03/2021,37.2,Extreme
5065,Symptoms of Anxiety Disorder,By State,New York,02/03/2021,36.0,Extreme
5066,Symptoms of Anxiety Disorder,By State,North Carolina,02/03/2021,33.8,High
5067,Symptoms of Anxiety Disorder,By State,North Dakota,02/03/2021,30.7,High
5068,Symptoms of Anxiety Disorder,By State,Ohio,02/03/2021,31.2,High
5069,Symptoms of Anxiety Disorder,By State,Oklahoma,02/03/2021,33.1,High
5070,Symptoms of Anxiety Disorder,By State,Oregon,02/03/2021,39.8,Extreme
5071,Symptoms of Anxiety Disorder,By State,Pennsylvania,02/03/2021,29.7,Moderate
5072,Symptoms of Anxiety Disorder,By State,Rhode Island,02/03/2021,31.3,High
5073,Symptoms of Anxiety Disorder,By State,South Carolina,02/03/2021,34.7,High
5074,Symptoms of Anxiety Disorder,By State,South Dakota,02/03/2021,29.6,Moderate
5075,Symptoms of Anxiety Disorder,By State,Tennessee,02/03/2021,35.5,Extreme
5076,Symptoms of Anxiety Disorder,By State,Texas,02/03/2021,34.8,High
5077,Symptoms of Anxiety Disorder,By State,Utah,02/03/2021,35.6,Extreme
5078,Symptoms of Anxiety Disorder,By State,Vermont,02/03/2021,36.0,Extreme
5079,Symptoms of Anxiety Disorder,By State,Virginia,02/03/2021,33.3,High
5080,Symptoms of Anxiety Disorder,By State,Washington,02/03/2021,36.4,Extreme
5081,Symptoms of Anxiety Disorder,By State,West Virginia,02/03/2021,37.2,Extreme
5082,Symptoms of Anxiety Disorder,By State,Wisconsin,02/03/2021,32.2,High
5083,Symptoms of Anxiety Disorder,By State,Wyoming,02/03/2021,25.1,Moderate
5084,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,02/03/2021,39.3,Extreme
5085,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,02/03/2021,56.3,Extreme
5086,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,02/03/2021,44.3,Extreme
5087,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,02/03/2021,40.7,Extreme
5088,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,02/03/2021,36.9,Extreme
5089,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,02/03/2021,32.6,High
5090,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,02/03/2021,24.7,Mild
5091,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,02/03/2021,23.3,Mild
5092,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Male,02/03/2021,35.5,Extreme
5093,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,Female,02/03/2021,43.0,Extreme
5094,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,02/03/2021,43.8,Extreme
5095,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",02/03/2021,37.7,Extreme
5096,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",02/03/2021,41.9,Extreme
5097,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",02/03/2021,36.2,Extreme
5098,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",02/03/2021,44.1,Extreme
5099,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,02/03/2021,48.3,Extreme
5100,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,02/03/2021,39.0,Extreme
5101,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,02/03/2021,43.2,Extreme
5102,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,02/03/2021,33.9,High
5103,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,02/03/2021,40.1,Extreme
5104,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,02/03/2021,41.3,Extreme
5105,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,02/03/2021,41.7,Extreme
5106,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,02/03/2021,43.4,Extreme
5107,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,02/03/2021,42.1,Extreme
5108,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,02/03/2021,36.3,Extreme
5109,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,02/03/2021,40.2,Extreme
5110,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,02/03/2021,37.5,Extreme
5111,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,02/03/2021,38.6,Extreme
5112,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,02/03/2021,38.9,Extreme
5113,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,02/03/2021,38.7,Extreme
5114,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,02/03/2021,33.6,High
5115,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,02/03/2021,36.9,Extreme
5116,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,02/03/2021,37.5,Extreme
5117,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,02/03/2021,37.5,Extreme
5118,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,02/03/2021,35.5,Extreme
5119,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,02/03/2021,34.5,High
5120,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,02/03/2021,39.0,Extreme
5121,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,02/03/2021,42.7,Extreme
5122,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,02/03/2021,38.2,Extreme
5123,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,02/03/2021,37.3,Extreme
5124,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,02/03/2021,39.7,Extreme
5125,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,02/03/2021,39.1,Extreme
5126,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,02/03/2021,32.3,High
5127,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,02/03/2021,43.3,Extreme
5128,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,02/03/2021,39.9,Extreme
5129,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,02/03/2021,32.1,High
5130,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,02/03/2021,35.9,Extreme
5131,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,02/03/2021,44.0,Extreme
5132,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,02/03/2021,32.6,High
5133,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,02/03/2021,38.8,Extreme
5134,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,02/03/2021,42.9,Extreme
5135,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,02/03/2021,41.8,Extreme
5136,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,02/03/2021,38.9,Extreme
5137,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,02/03/2021,35.5,Extreme
5138,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,02/03/2021,36.4,Extreme
5139,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,02/03/2021,38.7,Extreme
5140,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,02/03/2021,45.1,Extreme
5141,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,02/03/2021,35.4,Extreme
5142,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,02/03/2021,38.1,Extreme
5143,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,02/03/2021,38.8,Extreme
5144,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,02/03/2021,30.9,High
5145,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,02/03/2021,40.6,Extreme
5146,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,02/03/2021,39.9,Extreme
5147,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,02/03/2021,40.2,Extreme
5148,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,02/03/2021,38.7,Extreme
5149,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,02/03/2021,38.7,Extreme
5150,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,02/03/2021,40.9,Extreme
5151,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,02/03/2021,41.8,Extreme
5152,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,02/03/2021,36.7,Extreme
5153,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,02/03/2021,29.2,Moderate
5154,Symptoms of Depressive Disorder,National Estimate,United States,02/17/2021,27.8,Moderate
5155,Symptoms of Depressive Disorder,By Age,18 - 29 years,02/17/2021,43.2,Extreme
5156,Symptoms of Depressive Disorder,By Age,30 - 39 years,02/17/2021,31.7,High
5157,Symptoms of Depressive Disorder,By Age,40 - 49 years,02/17/2021,27.1,Moderate
5158,Symptoms of Depressive Disorder,By Age,50 - 59 years,02/17/2021,27.1,Moderate
5159,Symptoms of Depressive Disorder,By Age,60 - 69 years,02/17/2021,21.1,Mild
5160,Symptoms of Depressive Disorder,By Age,70 - 79 years,02/17/2021,16.9,Mild
5161,Symptoms of Depressive Disorder,By Age,80 years and above,02/17/2021,14.9,Mild
5162,Symptoms of Depressive Disorder,By Sex,Male,02/17/2021,26.7,Moderate
5163,Symptoms of Depressive Disorder,By Sex,Female,02/17/2021,28.7,Moderate
5164,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,02/17/2021,29.5,Moderate
5165,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",02/17/2021,26.6,Moderate
5166,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",02/17/2021,31.3,High
5167,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",02/17/2021,25.2,Moderate
5168,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",02/17/2021,35.0,High
5169,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,02/17/2021,35.1,High
5170,Symptoms of Depressive Disorder,By Education,High school diploma or GED,02/17/2021,30.0,High
5171,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,02/17/2021,31.6,High
5172,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,02/17/2021,20.6,Mild
5173,Symptoms of Depressive Disorder,By State,Alabama,02/17/2021,27.6,Moderate
5174,Symptoms of Depressive Disorder,By State,Alaska,02/17/2021,22.0,Mild
5175,Symptoms of Depressive Disorder,By State,Arizona,02/17/2021,28.7,Moderate
5176,Symptoms of Depressive Disorder,By State,Arkansas,02/17/2021,28.2,Moderate
5177,Symptoms of Depressive Disorder,By State,California,02/17/2021,29.5,Moderate
5178,Symptoms of Depressive Disorder,By State,Colorado,02/17/2021,28.1,Moderate
5179,Symptoms of Depressive Disorder,By State,Connecticut,02/17/2021,28.1,Moderate
