,Group,Subgroup,Time_Period,Risk
3533,By State,Nebraska,2020-10-14,Moderate
3534,By State,Nevada,2020-10-14,Extreme
3535,By State,New Hampshire,2020-10-14,Moderate
3536,By State,New Jersey,2020-10-14,High
3537,By State,New Mexico,2020-10-14,Extreme
3538,By State,New York,2020-10-14,High
3539,By State,North Carolina,2020-10-14,Moderate
3540,By State,North Dakota,2020-10-14,Moderate
3541,By State,Ohio,2020-10-14,High
3542,By State,Oklahoma,2020-10-14,High
3543,By State,Oregon,2020-10-14,Extreme
3544,By State,Pennsylvania,2020-10-14,High
3545,By State,Rhode Island,2020-10-14,Extreme
3546,By State,South Carolina,2020-10-14,High
3547,By State,South Dakota,2020-10-14,Mild
3548,By State,Tennessee,2020-10-14,High
3549,By State,Texas,2020-10-14,High
3550,By State,Utah,2020-10-14,Moderate
3551,By State,Vermont,2020-10-14,High
3552,By State,Virginia,2020-10-14,High
3553,By State,Washington,2020-10-14,Extreme
3554,By State,West Virginia,2020-10-14,High
3555,By State,Wisconsin,2020-10-14,High
3556,By State,Wyoming,2020-10-14,Moderate
3697,National Estimate,United States,2020-10-28,Extreme
3698,By Age,18 - 29 years,2020-10-28,Extreme
3699,By Age,30 - 39 years,2020-10-28,Extreme
3700,By Age,40 - 49 years,2020-10-28,Extreme
3701,By Age,50 - 59 years,2020-10-28,High
3702,By Age,60 - 69 years,2020-10-28,Moderate
3703,By Age,70 - 79 years,2020-10-28,Mild
3704,By Age,80 years and above,2020-10-28,Mild
3705,By Sex,Male,2020-10-28,High
3706,By Sex,Female,2020-10-28,Extreme
3707,By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-28,Extreme
3708,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-28,High
3709,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-28,Extreme
3710,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-28,Moderate
3711,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-28,Extreme
3712,By Education,Less than a high school diploma,2020-10-28,Extreme
3713,By Education,High school diploma or GED,2020-10-28,Extreme
3714,By Education,Some college/Associate's degree,2020-10-28,Extreme
3715,By Education,Bachelor's degree or higher,2020-10-28,High
3716,By State,Alabama,2020-10-28,Extreme
3717,By State,Alaska,2020-10-28,High
3718,By State,Arizona,2020-10-28,Extreme
3719,By State,Arkansas,2020-10-28,Extreme
3720,By State,California,2020-10-28,Extreme
3721,By State,Colorado,2020-10-28,Extreme
3722,By State,Connecticut,2020-10-28,Extreme
3723,By State,Delaware,2020-10-28,Extreme
3724,By State,District of Columbia,2020-10-28,Extreme
3725,By State,Florida,2020-10-28,Extreme
3726,By State,Georgia,2020-10-28,Extreme
3727,By State,Hawaii,2020-10-28,Extreme
3728,By State,Idaho,2020-10-28,Extreme
3729,By State,Illinois,2020-10-28,Extreme
3730,By State,Indiana,2020-10-28,High
3731,By State,Iowa,2020-10-28,Extreme
3732,By State,Kansas,2020-10-28,Extreme
3733,By State,Kentucky,2020-10-28,Extreme
3734,By State,Louisiana,2020-10-28,Extreme
3735,By State,Maine,2020-10-28,Extreme
3736,By State,Maryland,2020-10-28,Extreme
3737,By State,Massachusetts,2020-10-28,Extreme
3738,By State,Michigan,2020-10-28,High
3739,By State,Minnesota,2020-10-28,High
3740,By State,Mississippi,2020-10-28,Extreme
3741,By State,Missouri,2020-10-28,Extreme
3742,By State,Montana,2020-10-28,Extreme
3743,By State,Nebraska,2020-10-28,High
3744,By State,Nevada,2020-10-28,Extreme
3745,By State,New Hampshire,2020-10-28,Extreme
3746,By State,New Jersey,2020-10-28,High
3747,By State,New Mexico,2020-10-28,Extreme
3748,By State,New York,2020-10-28,High
3749,By State,North Carolina,2020-10-28,Extreme
3750,By State,North Dakota,2020-10-28,Mild
3751,By State,Ohio,2020-10-28,Extreme
3752,By State,Oklahoma,2020-10-28,Extreme
3753,By State,Oregon,2020-10-28,Extreme
3754,By State,Pennsylvania,2020-10-28,Extreme
3755,By State,Rhode Island,2020-10-28,Extreme
3756,By State,South Carolina,2020-10-28,Extreme
3757,By State,South Dakota,2020-10-28,Moderate
3758,By State,Tennessee,2020-10-28,High
3759,By State,Texas,2020-10-28,Extreme
3760,By State,Utah,2020-10-28,High
3761,By State,Vermont,2020-10-28,Extreme
3762,By State,Virginia,2020-10-28,High
3763,By State,Washington,2020-10-28,High
3764,By State,West Virginia,2020-10-28,Extreme
3765,By State,Wisconsin,2020-10-28,Extreme
3766,By State,Wyoming,2020-10-28,High
3907,National Estimate,United States,2020-11-11,Extreme
3908,By Age,18 - 29 years,2020-11-11,Extreme
3909,By Age,30 - 39 years,2020-11-11,Extreme
3910,By Age,40 - 49 years,2020-11-11,Extreme
3911,By Age,50 - 59 years,2020-11-11,Extreme
3912,By Age,60 - 69 years,2020-11-11,High
3913,By Age,70 - 79 years,2020-11-11,Mild
3914,By Age,80 years and above,2020-11-11,Mild
3915,By Sex,Male,2020-11-11,High
3916,By Sex,Female,2020-11-11,Extreme
3917,By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-11,Extreme
3918,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-11,Extreme
3919,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-11,Extreme
3920,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-11,Moderate
3921,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-11,Extreme
3922,By Education,Less than a high school diploma,2020-11-11,Extreme
3923,By Education,High school diploma or GED,2020-11-11,Extreme
3924,By Education,Some college/Associate's degree,2020-11-11,Extreme
3925,By Education,Bachelor's degree or higher,2020-11-11,High
3926,By State,Alabama,2020-11-11,Extreme
3927,By State,Alaska,2020-11-11,Extreme
3928,By State,Arizona,2020-11-11,Extreme
3929,By State,Arkansas,2020-11-11,Extreme
3930,By State,California,2020-11-11,Extreme
3931,By State,Colorado,2020-11-11,Extreme
3932,By State,Connecticut,2020-11-11,High
3933,By State,Delaware,2020-11-11,High
3934,By State,District of Columbia,2020-11-11,Extreme
3935,By State,Florida,2020-11-11,High
3936,By State,Georgia,2020-11-11,High
3937,By State,Hawaii,2020-11-11,Moderate
3938,By State,Idaho,2020-11-11,High
3939,By State,Illinois,2020-11-11,Extreme
3940,By State,Indiana,2020-11-11,High
3941,By State,Iowa,2020-11-11,High
3942,By State,Kansas,2020-11-11,High
3943,By State,Kentucky,2020-11-11,High
3944,By State,Louisiana,2020-11-11,Extreme
3945,By State,Maine,2020-11-11,High
3946,By State,Maryland,2020-11-11,Extreme
3947,By State,Massachusetts,2020-11-11,Extreme
3948,By State,Michigan,2020-11-11,Extreme
3949,By State,Minnesota,2020-11-11,Extreme
3950,By State,Mississippi,2020-11-11,Extreme
3951,By State,Missouri,2020-11-11,High
3952,By State,Montana,2020-11-11,Extreme
3953,By State,Nebraska,2020-11-11,High
3954,By State,Nevada,2020-11-11,Extreme
3955,By State,New Hampshire,2020-11-11,High
3956,By State,New Jersey,2020-11-11,Extreme
3957,By State,New Mexico,2020-11-11,Extreme
3958,By State,New York,2020-11-11,Extreme
3959,By State,North Carolina,2020-11-11,Extreme
3960,By State,North Dakota,2020-11-11,High
3961,By State,Ohio,2020-11-11,Extreme
3962,By State,Oklahoma,2020-11-11,Extreme
3963,By State,Oregon,2020-11-11,Extreme
3964,By State,Pennsylvania,2020-11-11,High
3965,By State,Rhode Island,2020-11-11,Extreme
3966,By State,South Carolina,2020-11-11,Extreme
3967,By State,South Dakota,2020-11-11,High
3968,By State,Tennessee,2020-11-11,Extreme
3969,By State,Texas,2020-11-11,Extreme
3970,By State,Utah,2020-11-11,Extreme
3971,By State,Vermont,2020-11-11,Extreme
3972,By State,Virginia,2020-11-11,High
3973,By State,Washington,2020-11-11,Extreme
3974,By State,West Virginia,2020-11-11,Extreme
3975,By State,Wisconsin,2020-11-11,High
3976,By State,Wyoming,2020-11-11,Extreme
4117,National Estimate,United States,2020-11-25,Extreme
4118,By Age,18 - 29 years,2020-11-25,Extreme
4119,By Age,30 - 39 years,2020-11-25,Extreme
4120,By Age,40 - 49 years,2020-11-25,Extreme
4121,By Age,50 - 59 years,2020-11-25,High
4122,By Age,60 - 69 years,2020-11-25,Moderate
4123,By Age,70 - 79 years,2020-11-25,Mild
4124,By Age,80 years and above,2020-11-25,Mild
4125,By Sex,Male,2020-11-25,High
4126,By Sex,Female,2020-11-25,Extreme
4127,By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-25,Extreme
4128,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-25,High
4129,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-25,Extreme
4130,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-25,Moderate
4131,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-25,Extreme
4132,By Education,Less than a high school diploma,2020-11-25,Extreme
4133,By Education,High school diploma or GED,2020-11-25,Extreme
4134,By Education,Some college/Associate's degree,2020-11-25,Extreme
4135,By Education,Bachelor's degree or higher,2020-11-25,High
4136,By State,Alabama,2020-11-25,High
4137,By State,Alaska,2020-11-25,Extreme
4138,By State,Arizona,2020-11-25,High
4139,By State,Arkansas,2020-11-25,Extreme
4140,By State,California,2020-11-25,Extreme
4141,By State,Colorado,2020-11-25,Extreme
4142,By State,Connecticut,2020-11-25,Extreme
4143,By State,Delaware,2020-11-25,High
4144,By State,District of Columbia,2020-11-25,Extreme
4145,By State,Florida,2020-11-25,Extreme
4146,By State,Georgia,2020-11-25,Extreme
4147,By State,Hawaii,2020-11-25,High
4148,By State,Idaho,2020-11-25,High
4149,By State,Illinois,2020-11-25,Extreme
4150,By State,Indiana,2020-11-25,Extreme
4151,By State,Iowa,2020-11-25,High
4152,By State,Kansas,2020-11-25,High
4153,By State,Kentucky,2020-11-25,Extreme
4154,By State,Louisiana,2020-11-25,Extreme
4155,By State,Maine,2020-11-25,High
4156,By State,Maryland,2020-11-25,High
4157,By State,Massachusetts,2020-11-25,High
4158,By State,Michigan,2020-11-25,High
4159,By State,Minnesota,2020-11-25,High
4160,By State,Mississippi,2020-11-25,Extreme
4161,By State,Missouri,2020-11-25,Extreme
4162,By State,Montana,2020-11-25,Extreme
4163,By State,Nebraska,2020-11-25,High
4164,By State,Nevada,2020-11-25,Extreme
4165,By State,New Hampshire,2020-11-25,Extreme
4166,By State,New Jersey,2020-11-25,Extreme
4167,By State,New Mexico,2020-11-25,Extreme
4168,By State,New York,2020-11-25,Extreme
4169,By State,North Carolina,2020-11-25,High
4170,By State,North Dakota,2020-11-25,Moderate
4171,By State,Ohio,2020-11-25,Extreme
4172,By State,Oklahoma,2020-11-25,Extreme
4173,By State,Oregon,2020-11-25,Extreme
4174,By State,Pennsylvania,2020-11-25,Extreme
4175,By State,Rhode Island,2020-11-25,Extreme
4176,By State,South Carolina,2020-11-25,High
4177,By State,South Dakota,2020-11-25,Moderate
4178,By State,Tennessee,2020-11-25,High
4179,By State,Texas,2020-11-25,Extreme
4180,By State,Utah,2020-11-25,Extreme
4181,By State,Vermont,2020-11-25,Extreme
4182,By State,Virginia,2020-11-25,High
4183,By State,Washington,2020-11-25,Extreme
4184,By State,West Virginia,2020-11-25,Extreme
4185,By State,Wisconsin,2020-11-25,High
4186,By State,Wyoming,2020-11-25,Extreme
4327,National Estimate,United States,2020-12-09,Extreme
4328,By Age,18 - 29 years,2020-12-09,Extreme
4329,By Age,30 - 39 years,2020-12-09,Extreme
4330,By Age,40 - 49 years,2020-12-09,Extreme
4331,By Age,50 - 59 years,2020-12-09,Extreme
4332,By Age,60 - 69 years,2020-12-09,Moderate
4333,By Age,70 - 79 years,2020-12-09,Mild
4334,By Age,80 years and above,2020-12-09,Mild
4335,By Sex,Male,2020-12-09,High
4336,By Sex,Female,2020-12-09,Extreme
4337,By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-09,Extreme
4338,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-09,Extreme
4339,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-09,Extreme
4340,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-09,Moderate
4341,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-09,Extreme
4342,By Education,Less than a high school diploma,2020-12-09,Extreme
4343,By Education,High school diploma or GED,2020-12-09,Extreme
4344,By Education,Some college/Associate's degree,2020-12-09,Extreme
4345,By Education,Bachelor's degree or higher,2020-12-09,High
4346,By State,Alabama,2020-12-09,Extreme
4347,By State,Alaska,2020-12-09,Extreme
4348,By State,Arizona,2020-12-09,High
4349,By State,Arkansas,2020-12-09,Extreme
4350,By State,California,2020-12-09,Extreme
4351,By State,Colorado,2020-12-09,Extreme
4352,By State,Connecticut,2020-12-09,Extreme
4353,By State,Delaware,2020-12-09,Extreme
4354,By State,District of Columbia,2020-12-09,High
4355,By State,Florida,2020-12-09,Extreme
4356,By State,Georgia,2020-12-09,Extreme
4357,By State,Hawaii,2020-12-09,High
4358,By State,Idaho,2020-12-09,Extreme
4359,By State,Illinois,2020-12-09,Extreme
4360,By State,Indiana,2020-12-09,High
4361,By State,Iowa,2020-12-09,High
4362,By State,Kansas,2020-12-09,Extreme
4363,By State,Kentucky,2020-12-09,Extreme
4364,By State,Louisiana,2020-12-09,Extreme
4365,By State,Maine,2020-12-09,High
4366,By State,Maryland,2020-12-09,High
4367,By State,Massachusetts,2020-12-09,Extreme
4368,By State,Michigan,2020-12-09,Extreme
4369,By State,Minnesota,2020-12-09,High
4370,By State,Mississippi,2020-12-09,Extreme
4371,By State,Missouri,2020-12-09,Extreme
4372,By State,Montana,2020-12-09,Extreme
4373,By State,Nebraska,2020-12-09,Moderate
4374,By State,Nevada,2020-12-09,Extreme
4375,By State,New Hampshire,2020-12-09,High
4376,By State,New Jersey,2020-12-09,High
4377,By State,New Mexico,2020-12-09,Extreme
4378,By State,New York,2020-12-09,High
4379,By State,North Carolina,2020-12-09,High
4380,By State,North Dakota,2020-12-09,Moderate
4381,By State,Ohio,2020-12-09,Extreme
4382,By State,Oklahoma,2020-12-09,Extreme
4383,By State,Oregon,2020-12-09,Extreme
4384,By State,Pennsylvania,2020-12-09,High
4385,By State,Rhode Island,2020-12-09,High
4386,By State,South Carolina,2020-12-09,Extreme
4387,By State,South Dakota,2020-12-09,Moderate
4388,By State,Tennessee,2020-12-09,Extreme
4389,By State,Texas,2020-12-09,Extreme
4390,By State,Utah,2020-12-09,High
4391,By State,Vermont,2020-12-09,Extreme
4392,By State,Virginia,2020-12-09,Extreme
4393,By State,Washington,2020-12-09,Extreme
4394,By State,West Virginia,2020-12-09,Extreme
4395,By State,Wisconsin,2020-12-09,Extreme
4396,By State,Wyoming,2020-12-09,High
